NTA2020,ntaname20,comp2020ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,comp2021,comp2022,comp2023,cenunits20,filed,approved,permitted,withdrawn,inactive
MN0401,Chelsea-Hudson Yards,213,1661,332,101,993,580,206,663,1593,926,383,227,135,2300,358,43842,697,228,922,69,1053
MN0402,Hell's Kitchen,63,216,1655,197,1503,151,1447,1058,517,1243,325,60,336,-14,9,39047,1339,-5,898,197,949
MN0501,Midtown South-Flatiron-Union Square,165,307,339,-3,215,293,475,672,318,450,172,202,198,362,486,19679,680,90,89,1116,418
MN0502,Midtown-Times Square,70,221,-10,-21,20,-11,54,-118,284,539,396,70,59,45,69,19914,1194,42,611,301,1022
MN0601,Stuyvesant Town-Peter Cooper Village,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,11291,0,0,5,0,0
MN0602,Gramercy,-8,3,161,1,33,82,-23,33,2,257,66,-8,146,72,127,17885,111,66,-23,99,63
MN0603,Murray Hill-Kips Bay,-5,9,3,10,3,109,62,856,529,595,439,-5,42,184,0,40838,214,103,841,79,53
MN0604,East Midtown-Turtle Bay,-4,91,-31,-119,-186,88,106,357,152,-64,194,1,121,518,-49,32087,-1,78,819,165,157
MN0661,United Nations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN0701,Upper West Side-Lincoln Square,9,1003,21,96,-31,320,489,873,327,87,1328,9,119,-11,-2,44545,-2,132,327,498,-96
MN0702,Upper West Side (Central),-25,-21,27,246,91,-71,-197,-38,-95,163,-57,-49,-39,142,133,56787,-16,-13,-43,216,-11
MN0703,Upper West Side-Manhattan Valley,116,237,0,16,2,0,11,2,84,-5,33,159,199,-1,16,26533,85,-89,204,-98,74
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,316,35,180,-44,-45,-119,317,56,396,-29,-54,316,-29,-73,1,52289,105,-40,832,-68,-155
MN0802,Upper East Side-Carnegie Hill,-3,112,-56,-29,-69,-118,-57,-24,-66,-39,113,-12,-15,18,19,37551,-6,-27,69,-26,-132
MN0803,Upper East Side-Yorkville,25,112,-2,3,-4,-125,-125,189,-90,73,-70,25,202,111,1,49082,56,-65,819,-4,308
MN0901,Morningside Heights,263,-28,0,0,0,1,-25,418,-52,0,219,263,76,5,0,15046,-1,-1,440,134,-8
MN0902,Manhattanville-West Harlem,7,-26,-8,0,2,12,0,0,48,0,9,7,0,7,0,8864,90,-10,516,78,74
MN0903,Hamilton Heights-Sugar Hill,17,138,105,27,7,152,5,162,20,2,35,5,27,-1,236,20990,743,60,104,327,110
MN1001,Harlem (South),261,523,169,38,24,353,-63,38,73,-8,-16,257,561,26,187,22076,60,16,773,58,-61
MN1002,Harlem (North),386,52,459,47,43,-18,85,278,38,108,314,455,-2,75,71,39553,153,77,516,80,256
MN1101,East Harlem (South),534,462,292,387,51,271,280,48,214,80,71,534,26,480,178,26386,19,54,500,9,294
MN1102,East Harlem (North),239,521,317,110,219,351,-15,48,298,236,252,253,477,50,58,28324,722,3,2197,848,708
MN1191,Randall's Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0
MN1201,Washington Heights (South),12,-13,-6,-39,9,53,63,60,20,108,82,12,20,23,0,28457,158,97,150,4,-2
MN1202,Washington Heights (North),-24,45,117,4,1,-7,17,3,26,13,26,-24,-1,59,0,30550,163,5,769,167,465
MN1203,Inwood,24,0,20,-2,0,28,-4,-2,-6,2,6,24,0,5,0,15712,140,0,1891,22,16
MN1291,Highbridge Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN1292,Inwood Hill Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
MN6491,Central Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
QN0101,Astoria (North)-Ditmars-Steinway,-1,81,35,45,93,33,20,18,107,100,2,13,110,33,18,22958,547,2,316,106,116
QN0102,Old Astoria-Hallets Point,38,260,65,72,89,226,93,126,58,261,500,39,194,749,203,8297,2202,93,1765,817,323
QN0103,Astoria (Central),54,522,259,189,129,84,73,323,193,179,162,146,201,279,45,26720,61,82,567,335,233
QN0104,Astoria (East)-Woodside (North),13,40,26,30,18,33,12,13,38,97,27,14,161,99,21,17659,9,64,432,41,87
QN0105,Queensbridge-Ravenswood-Dutch Kills,5,-7,110,-8,235,165,422,329,671,1017,248,82,1185,399,217,14903,304,55,2193,2130,1906
QN0151,Rikers Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
QN0161,Sunnyside Yards (North),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,635,0
QN0171,St. Michael's Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
QN0191,Astoria Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QN0201,Long Island City-Hunters Point,88,181,166,770,2139,945,952,1213,2737,2426,1058,170,3526,1265,134,19084,902,116,6264,446,901
QN0202,Sunnyside,18,25,-4,3,-2,63,7,39,22,3,14,16,90,86,1,22424,263,0,489,74,77
QN0203,Woodside,129,84,140,23,1,27,0,34,63,24,52,132,70,107,192,19183,18,165,688,245,101
QN0261,Sunnyside Yards (South),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,167,0,0,1
QN0271,Calvary & Mount Zion Cemeteries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QN0301,Jackson Heights,-1,26,60,17,58,-3,7,8,47,6,5,1,8,74,96,37428,12,10,195,28,175
QN0302,East Elmhurst,12,33,8,93,23,28,2,23,4,21,34,47,25,57,51,9940,20,18,197,35,359
QN0303,North Corona,25,176,125,61,94,65,42,51,13,51,4,26,129,12,23,11544,20,14,252,53,76
QN0401,Elmhurst,164,165,98,149,39,85,185,55,52,61,397,187,276,147,68,35849,456,71,904,200,411
QN0402,Corona,33,141,127,86,47,25,23,71,66,164,74,44,58,96,47,22216,24,79,158,126,140
QN0501,Maspeth,-1,44,29,8,40,7,36,26,9,5,14,4,22,21,0,16304,33,-1,32,33,82
QN0502,Ridgewood,148,141,38,57,5,5,22,69,162,119,109,166,79,109,141,26014,86,24,139,138,488
QN0503,Glendale,3,0,-1,0,4,1,20,1,5,-2,3,-12,3,66,6,13556,12,14,11,5,103
QN0504,Middle Village,6,30,11,11,0,11,7,-2,4,8,98,7,9,8,1,14062,25,3,24,-8,45
QN0571,Mount Olivet & All Faiths Cemeteries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
QN0572,Middle Village Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QN0573,St. John Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
QN0574,Highland Park-Cypress Hills Cemeteries (North),0,0,0,0,0,0,0,0,0,0,0,-18,0,0,0,7,0,0,0,0,0
QN0601,Rego Park,1,74,34,78,12,18,319,18,84,109,1,0,40,49,-3,13767,1,31,1211,449,89
QN0602,Forest Hills,-1,14,34,6,30,40,122,10,10,71,34,-1,77,449,195,42353,15,34,616,215,27
QN0701,College Point,0,94,99,77,46,19,44,-3,9,5,222,11,6,17,7,11071,14,7,139,21,80
QN0702,Whitestone-Beechhurst,20,-16,24,18,3,6,14,25,5,45,14,32,9,9,4,11200,25,13,82,45,60
QN0703,Bay Terrace-Clearview,9,9,4,1,-1,5,3,0,2,5,1,8,2,37,2,11248,4,0,32,6,49
QN0704,Murray Hill-Broadway Flushing,107,58,47,28,24,13,-43,23,62,75,142,109,58,167,5,21511,100,4,344,169,69
QN0705,East Flushing,25,26,29,18,114,-2,26,37,1,39,30,33,43,108,63,12089,40,29,144,69,16
QN0706,Queensboro Hill,30,39,11,43,23,38,34,56,25,33,65,37,21,31,14,7558,12,7,82,34,38
QN0707,Flushing-Willets Point,88,273,204,141,193,336,78,250,125,93,757,91,250,97,259,28551,1575,252,2142,946,1477
QN0761,Fort Totten,0,0,0,-1,0,0,0,0,0,0,0,0,-24,0,0,0,0,0,0,0,0
QN0791,Kissena Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
QN0801,Kew Gardens Hills,6,19,5,2,2,5,2,3,27,2,3,6,45,3,3,13714,8,2,106,9,103
QN0802,Pomonok-Electchester-Hillcrest,7,11,120,53,12,4,10,47,19,72,63,9,229,23,1,12653,878,0,157,84,25
QN0803,Fresh Meadows-Utopia,4,6,6,17,17,8,-3,5,6,2,13,4,9,4,0,8415,11,1,31,0,12
QN0804,Jamaica Estates-Holliswood,66,39,-3,-1,5,-3,27,18,6,68,27,68,3,12,4,9000,9,15,175,-2,75
QN0805,Jamaica Hills-Briarwood,53,105,195,13,57,8,24,4,23,9,68,54,126,61,4,14435,7,28,193,50,51
QN0871,Mount Hebron & Cedar Grove Cemeteries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
QN0891,Cunningham Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QN0901,Kew Gardens,42,16,81,70,6,2,-2,162,4,0,17,42,19,9,1,11299,13,30,345,53,77
QN0902,Richmond Hill,1,22,13,7,189,13,2,16,0,4,6,1,4,2,3,10835,40,27,61,40,150
QN0903,South Richmond Hill,0,8,32,30,19,9,4,14,2,11,5,7,8,3,63,7202,28,81,44,34,60
QN0904,Ozone Park (North),0,11,22,4,12,2,7,9,7,11,4,2,23,4,4,8146,11,12,75,11,45
QN0905,Woodhaven,1,1,15,2,3,4,9,-4,6,4,-17,10,2,7,0,13139,43,41,34,0,80
QN1001,South Ozone Park,32,40,45,24,36,29,24,11,4,29,28,37,8,34,4,24391,49,10,124,27,100
QN1002,Ozone Park,4,9,10,0,5,5,22,25,4,2,6,7,7,25,0,7745,9,15,72,85,64
QN1003,Howard Beach-Lindenwood,-7,8,14,-5,92,13,9,-2,2,-1,15,-13,-5,3,6,11372,11,49,18,52,105
QN1091,Spring Creek Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QN1101,Auburndale,8,57,63,28,47,17,8,-8,15,9,24,18,12,9,6,13045,15,5,78,45,43
QN1102,Bayside,5,21,37,2,13,42,3,8,7,24,27,33,15,13,3,13486,31,48,120,47,70
QN1103,Douglaston-Little Neck,6,16,15,10,8,14,4,5,14,2,14,8,13,13,3,10360,9,12,163,36,31
QN1104,Oakland Gardens-Hollis Hills,12,20,19,8,9,8,18,12,11,9,5,15,11,11,14,10546,5,7,40,10,15
QN1191,Alley Pond Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
QN1201,Jamaica,575,531,133,51,37,261,5,52,37,558,670,574,851,1162,316,20038,735,210,3804,316,471
QN1202,South Jamaica,27,73,43,33,20,13,54,4,23,38,30,32,27,24,25,14301,101,34,81,68,62
QN1203,Baisley Park,22,40,23,16,33,15,21,16,28,51,28,25,33,29,17,13445,785,17,87,31,86
QN1204,Springfield Gardens (North)-Rochdale Village,252,46,22,32,7,10,63,67,15,97,101,259,17,27,8,12637,8,4,67,119,35
QN1205,St. Albans,11,19,5,26,16,17,14,8,7,100,27,20,30,30,8,16719,33,9,60,66,41
QN1206,Hollis,2,12,9,10,7,6,0,6,2,24,0,4,18,4,27,7493,17,8,50,121,81
QN1301,Glen Oaks-Floral Park-New Hyde Park,-1,0,-2,4,3,0,-1,6,-3,0,3,-1,1,0,1,9858,9,2,25,0,6
QN1302,Bellerose,3,11,9,-1,9,14,5,5,1,4,4,5,2,1,2,8933,9,4,23,5,193
QN1303,Queens Village,8,17,13,11,13,18,5,0,0,-1,11,13,11,6,2,16752,7,7,40,9,32
QN1304,Cambria Heights,0,-2,2,4,0,0,0,1,0,0,0,0,0,-2,0,6363,0,0,2,-1,7
QN1305,Laurelton,3,25,10,5,-2,11,8,4,8,15,11,5,3,8,3,8745,17,83,25,8,39
QN1306,Springfield Gardens (South)-Brookville,15,18,28,23,33,21,27,13,25,28,14,22,26,17,13,7049,36,33,45,24,44
QN1307,Rosedale,17,38,16,26,10,12,8,8,17,7,18,21,6,13,9,8709,25,5,28,8,89
QN1371,Montefiore Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
QN1401,Far Rockaway-Bayswater,13,12,24,16,77,19,3,-5,12,251,-4,40,236,1252,354,20308,539,145,705,229,477
QN1402,Rockaway Beach-Arverne-Edgemere,5,174,125,115,81,112,104,58,167,137,264,4,102,71,20,15924,357,344,333,112,58
QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,103,7,9,7,-83,-29,77,46,63,73,48,104,12,25,6,11731,293,10,103,13,21
QN1491,Rockaway Community Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
QN8081,LaGuardia Airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QN8191,Flushing Meadows-Corona Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0
QN8291,Forest Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
QN8381,John F. Kennedy International Airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
QN8491,Jamaica Bay (East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QN8492,Jacob Riis Park-Fort Tilden-Breezy Point Tip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
SI0101,St. George-New Brighton,12,20,83,19,13,18,8,13,48,7,-8,18,24,2,4,8430,85,701,217,51,53
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,9,126,31,99,35,5,8,572,68,-39,21,28,3,11,0,6801,482,13,381,235,661
SI0103,Rosebank-Shore Acres-Park Hill,3,12,30,14,18,15,69,61,32,7,9,3,24,14,7,9257,380,29,203,6,211
SI0104,West New Brighton-Silver Lake-Grymes Hill,0,175,17,3,89,2,-299,34,5,13,52,1,13,7,2,13931,53,4,88,22,43
SI0105,Westerleigh-Castleton Corners,11,8,16,22,9,20,12,16,10,17,15,17,21,7,16,12046,10,11,32,5,40
SI0106,Port Richmond,-4,4,13,12,4,10,2,66,23,46,49,-6,22,48,3,7391,73,12,43,52,14
SI0107,Mariner's Harbor-Arlington-Graniteville,15,10,32,4,18,21,30,10,9,12,43,26,23,5,8,11207,25,10,47,0,54
SI0191,Snug Harbor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-2
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,24,46,39,39,19,19,25,11,12,63,52,34,38,26,10,13492,61,21,87,29,23
SI0202,New Dorp-Midland Beach,20,26,40,34,-44,-5,22,16,-30,113,68,34,20,8,10,10822,71,27,59,36,43
SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,13,24,12,14,15,-5,10,24,49,170,7,18,25,22,4,11293,28,23,58,16,255
SI0204,New Springville-Willowbrook-Bulls Head-Travis,18,19,11,37,27,105,86,62,46,22,20,20,14,14,7,16117,5,9,46,8,206
SI0291,Freshkills Park (North),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,-1,0,0,-1
SI0301,Oakwood-Richmondtown,24,29,-1,-31,9,-45,-5,-3,6,3,23,28,15,6,10,8568,8,0,27,-51,-12
SI0302,Great Kills-Eltingville,27,78,35,11,50,23,24,34,47,32,31,44,39,40,34,21100,31,31,112,18,267
SI0303,Arden Heights-Rossville,7,35,53,52,40,17,13,22,38,24,14,13,29,19,19,11193,29,8,18,11,5
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,51,72,113,120,144,153,104,94,100,169,146,81,75,81,37,15428,74,25,156,23,160
SI0305,Tottenville-Charleston,43,58,39,31,29,12,5,46,19,27,5,49,65,40,37,6327,26,23,159,16,212
SI0391,Freshkills Park (South),0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,29,0,0,0,0,0
SI9561,Fort Wadsworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0
SI9591,Hoffman & Swinburne Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SI9592,Miller Field,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
SI9593,Great Kills Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
